Unidad territorial, Variable, 2022
Quirihue (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 977.0
Ñiquén (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1716.0
Ninhue (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 776.0
San Carlos (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 8038.0
Treguaco (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 982.0
Coelemu (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3760.0
San Nicolás (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1580.0
Portezuelo (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 764.0
San Fabián (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1002.0
Chillán (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 38381.0
Tomé, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 16145.0
Coihueco (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2972.0
Chillán Viejo (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4036.0
Ránquil (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 864.0
Pinto (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2684.0
Penco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 10145.0
Bulnes (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3588.0
Quillón (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2983.0
Talcahuano, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 38859.0
Hualpén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 8087.0
San Ignacio (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1795.0
Concepción, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 47883.0
Florida, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2558.0
San Pedro De La Paz, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 33312.0
El Carmen (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1676.0
Chiguayante, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 18745.0
Hualqui, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6158.0
Pemuco (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1321.0
Coronel, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 33986.0
Cabrero, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3686.0
Lota, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 10660.0
Yumbel, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3804.0
Yungay (Región del Ñuble), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3462.0
Santa Juana, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3556.0
Arauco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 9266.0
San Rosendo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 402.0
Laja, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3233.0
Tucapel, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3286.0
Antuco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 637.0
Los Ángeles, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 35283.0
Quilleco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 901.0
Curanilahue, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 7811.0
Nacimiento, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3596.0
Negrete, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1552.0
Lebu, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6137.0
Los Álamos, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5656.0
Santa Bárbara, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3276.0
Renaico, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1113.0
Quilaco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1012.0
Mulchén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6870.0
Angol, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 11845.0
Cañete, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 7502.0
Alto Biobío, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 816.0
Collipulli, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6315.0
Los Sauces, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1137.0
Contulmo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1113.0
Purén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1906.0
Ercilla, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1429.0
Lumaco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1249.0
Victoria, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 8933.0
Traiguén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2260.0
Tirúa, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1770.0
Galvarino, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1745.0
Perquenco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1127.0
Curacautín, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4216.0
Lonquimay, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 956.0
Lautaro, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6624.0
Cholchol, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1277.0
Vilcún, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3720.0
Carahue, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3197.0
Temuco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 46930.0
Nueva Imperial, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5471.0
Padre Las Casas, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 9390.0
Saavedra, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1700.0
Melipeuco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1023.0
Cunco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3627.0
Freire, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4257.0
Pitrufquén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5866.0
Teodoro Schmidt, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2489.0
Gorbea, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2721.0
Toltén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1819.0
Pucón, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 8845.0
Villarrica, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 14187.0
Curarrehue, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 886.0
Loncoche, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4929.0
Mariquina (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4669.0
Lanco (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3713.0
Panguipulli (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 8114.0
Máfil (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1603.0
Valdivia (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 37045.0
Los Lagos (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3685.0
Corral (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1139.0
Paillaco (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3977.0
Futrono (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2956.0
La Unión (Región de los Ríos), Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 9394.0
