Unidad territorial, Variable, 2022
Victoria, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 7208.0
Traiguén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2928.0
Tirúa, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 142.0
Galvarino, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 659.0
Perquenco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 732.0
Curacautín, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2360.0
Lonquimay, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 179.0
Lautaro, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 7292.0
Cholchol, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 413.0
Vilcún, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2663.0
Carahue, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1542.0
Temuco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 91291.0
Nueva Imperial, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3650.0
Padre Las Casas, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 8176.0
Saavedra, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 342.0
Melipeuco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 105.0
Cunco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1608.0
Freire, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1756.0
Pitrufquén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4602.0
Teodoro Schmidt, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 955.0
Gorbea, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1470.0
Toltén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 406.0
Pucón, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 6220.0
Villarrica, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 13907.0
Curarrehue, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 123.0
Loncoche, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4072.0
Mariquina (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2900.0
Lanco (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2299.0
Panguipulli (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3468.0
Máfil (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1005.0
Valdivia (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 48918.0
Los Lagos (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1943.0
Corral (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 362.0
Paillaco (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2530.0
Futrono (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 924.0
La Unión (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 7905.0
Lago Ranco (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 384.0
Río Bueno (Región de los Ríos), Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4653.0
San Pablo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1047.0
Osorno, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 45326.0
San Juan De La Costa, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 30.0
Puyehue, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1038.0
Río Negro, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1659.0
Purranque, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3131.0
Puerto Octay, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 436.0
Frutillar, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3559.0
Fresia, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 558.0
Llanquihue, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3348.0
Puerto Varas, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 13122.0
Los Muermos, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 802.0
Puerto Montt, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 65843.0
Maullín, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 470.0
Cochamó, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 199.0
Calbuco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3234.0
Ancud, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 5416.0
Hualaihué, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 491.0
Quemchi, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 462.0
Dalcahue, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1232.0
Curaco De Vélez, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 136.0
Quinchao, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 456.0
Castro, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 9035.0
Puqueldón, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 121.0
Chonchi, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1108.0
Queilén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 467.0
Chaitén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 554.0
Quellón, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2916.0
Futaleufú, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 641.0
Palena, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 362.0
Guaitecas, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 129.0
Lago Verde, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 132.0
Cisnes, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1237.0
Aysén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4973.0
Coyhaique, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 13003.0
Río Ibáñez, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 301.0
Chile Chico, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 667.0
Cochrane, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 623.0
