Id_comuna;Id_comisaria;Nombre_comisaria;Direccion;Fono;Tipo;;;;;
16106;152;TENENCIA PINTO;ERNESTO RIQUELME N 133;422842224;TENENCIA;;;;;
16107;153;TENENCIA QUILLON;EL ROBLE N 203;422842140;TENENCIA;;;;;
16108;154;RETEN SAN IGNACIO;MANUEL RODRIGUEZ N 699;422842135;RETEN;;;;;
16109;155;4A. COMISARiA YUNGAY;CALLE TACNA N 34;422842143;COMISARIA;;;;;
16201;156;5A. COMISARiA QUIRIHUE;CALLE ESMERALDA N 735;422842174;COMISARIA;;;;;
16202;157;RETEN COBQUECURA;CALLE ARTURO PRAT N 322;422842188;RETEN;;;;;
16203;158;SUBCOMISARiA COELEMU;EXEQUIEL LARENAS N 810;422842193;SUBCOMISARIA;;;;;
16204;159;RETEN INHUE;ESMERALDA N 501;422842189;RETEN;;;;;
16205;160;RETEN PORTEZUELO;OHIGGINS N 537;422842190;RETEN;;;;;
16206;161;RETEN IPAS;BARROS LUCO N 598;422842201;RETEN;;;;;
16207;162;RETEN TREHUACO;GONZALO URREJOLA N 593;422842191;RETEN;;;;;
16301;163;1A. COMISARiA DE SAN CARLOS;BENJAMN VICUA MACKENNA N 137;422842051;COMISARIA;;;;;
16302;164;SUBCOMISARiA COIHUECO;SAN MARTiN N 1598;422842232;SUBCOMISARIA;;;;;
16303;165;RETEN IQUEN;RAUL SOTO S/N;422842076;RETEN;;;;;
16304;166;SUBCOMISARiA SAN FABIAN (F);AVENIDA ANDES N 614;422842078;SUBCOMISARIA;;;;;
16305;167;RETEN SAN NICOLAS;BERNARDO OHIGGINS N 215;422842071;RETEN;;;;;
8101;168;2A. COMISARiA CONCEPCIoN;ONGOLMO N 1668;412141180;COMISARIA;;;;;
8102;169;4A. COMISARiA DE CORONEL;MANUEL MONTT N 798;412141126;COMISARIA;;;;;
8103;170;7A.COMISARiA CHIGUAYANTE;AVDA. 101 S/N ESQUINA BIO BIO;412141570;COMISARIA;;;;;
8104;171;TENENCIA FLORIDA;ELEUTERIO RAMIREZ N 543;412141340;TENENCIA;;;;;
8105;172;TENENCIA HUALQUI;PATRICIO LYNCH N 501;412141123;TENENCIA;;;;;
8106;173;3A. COMISARiA DE LOTA;CURVA LOYOLA S/N;4122141161;COMISARIA;;;;;
8107;174;3A. COMISARiA DE PENCO;BERNARDO O HIGGINS N 418;4122141318;COMISARIA;;;;;
8108;175;TENENCIA SAN PEDRO DE LA PAZ;LOS MAQUIS S/N;412141198;TENENCIA;;;;;
5101;176;SUBCOMISARiA LAS CAAS;LOS ALERCES S/N;323132165;SUBCOMISARIA;;;;;
5101;177;TENENCIA RODELILLO;RODELILLO S/N;323132160;TENENCIA;;;;;
5101;178;TENENCIA OHIGGINS;AV. JORGE KENRICK N 107 CERRO SAN ROQUE;323132157;TENENCIA;;;;;
5101;179;RETEN CABO 1 JUAN CARLOS SILVA TORO;CABRITERIA NORTE N 2225;323132164;RETEN;;;;;
5101;180;7A. COMISARiA FF.EE. VALPARAiSO;RUTA 68 KM. 4 1/2 S/N SANTOS OSSA;323132227;COMISARIA;;;;;
